Location,Percentage of households with pets,Percentage of Dog Owners,Mean Number of Dogs per household,Percentage of Cat Owners,Mean Number of Cats
Alabama,59.5,44.1,1.7,27.4,2.5
Arizona,59.5,40.1,1.8,29.6,1.9
Arkansas,62.4,47.9,2,30.6,2.3
California,52.9,32.8,1.6,28.3,1.9
Colorado,61.3,42.5,1.6,32.3,1.9
Connecticut,54.4,28.3,1.3,31.9,1.9
Delaware,56.6,33.7,1.4,33.7,1.7
District of Columbia,21.9,13.1,1.1,11.6,1.9
Florida,54.4,35.7,1.5,27.3,2.1
Georgia,55.1,40.1,1.6,27.3,2.1
Idaho,62,42.7,1.5,34.6,2
Illinois,51.8,32.4,1.5,26.3,1.9
Indiana,59.9,39.9,1.6,34.4,2.2
Iowa,53.6,33.4,1.5,30.3,2.2
Kansas,61,42.3,1.6,33.3,1.9
Kentucky,61.6,45.9,1.9,36.8,2.1
Louisiana,55.1,36.4,1.8,25.9,2
Maine,62.9,34.6,1.6,46.4,1.9
Maryland,52.3,30.8,1.4,29.8,2.6
Massachusetts,50.4,23.6,1.4,34.1,1.8
Michigan,55.4,34.6,1.5,31.3,2
Minnesota,53,31.9,1.4,29.7,2
Mississippi,56.4,45.2,1.7,29.1,2.1
Missouri,61.4,45.9,1.7,32.2,2.1
Montana,61.3,41.2,1.7,33.6,2
Nebraska,51.3,33.8,1.6,31.3,2.3
Nevada,55.6,37.1,1.6,30.3,2.1
New Hampshire,56.8,30.3,1.4,34.2,1.8
New Jersey,50.7,32.4,1.3,25.3,1.8
New Mexico,67.6,46,2,32,2.2
New York,50.6,29,1.4,29.1,1.9
North Carolina,56.4,40.3,1.7,29.5,2
North Dakota,53.9,36.1,1.4,31.4,2
Ohio,57.4,36.6,1.6,33.3,2.4
Oklahoma,58.9,43.2,2.1,32.6,2.2
Oregon,63.6,38.8,1.6,40.2,2
Pennsylvania,56.9,32.9,1.5,33.8,2
Rhode Island,53,29.3,1.3,27.6,1.8
South Carolina,54.1,38.6,1.8,27.8,2.1
South Dakota,65.6,42.8,1.5,39.1,2.2
Tennessee,59.6,44.1,1.9,29.8,2.3
Texas,58.5,44,1.8,28.3,2.2
Utah,51.2,29.4,1.5,24.6,2
Vermont,70.8,37.7,1.4,49.5,1.8
Virginia,53.4,35.4,1.6,29,2.1
Washington,62.7,36.3,1.7,39,1.8
West Virginia,62.1,45.8,1.8,38.1,2.2
Wisconsin,57.5,33.9,1.4,33,1.9
Wyoming,61.8,38.8,1.5,33.9,1.9